symbol	ID4.CTRL.T24.A_0700761761	ID4.CTRL.T24.B_0700761771	ID4.CTRL.T24.C_0700761781	ID5.LPS.T24.A_0700761791	ID5.LPS.T24.B_0700761801	ID5.LPS.T24.C_0700761811	ID6.ConA.T24.A_0700761821	ID6.ConA.T24.B_0700761831	ID6.ConA.T24.C_0700761841	ID7.MX1.T24.A_0700761851	ID7.MX1.T24.B_0700761861	ID7.MX1.T24.C_0700761871	ID9.MX3.T24.A_0700761911	ID9.MX3.T24.B_0700761921	ID9.MX3.T24.C_0700761931	ID11.MX5.T24.A_0700761971	ID11.MX5.T24.B_0700761981	ID11.MX5.T24.C_0700761991
ABCC3	5	5.52356195605701	5.4594316186373	4.4594316186373	4.64385618977472	4.85798099512757	0	1	1	5.12928301694497	5.35755200461808	5.35755200461808	5.12928301694497	5.08746284125034	5.04439411935845	5.04439411935845	5.4594316186373	5.58496250072116
ABCC4	6.22881869049588	6.04439411935845	5.75488750216347	6.16992500144231	6.12928301694497	5.95419631038687	6.8073549220576	6.7279204545632	6.8703647195834	5.35755200461808	5.7279204545632	5.6724253419715	5.95419631038687	6.3037807481771	5.93073733756289	5.83289001416474	5.70043971814109	5.85798099512757
ABCC5	6.18982455888002	6.24792751344359	6.4594316186373	6.32192809488736	6.10852445677817	6.10852445677817	5.6724253419715	5.16992500144231	5.39231742277876	6.10852445677817	6.24792751344359	6.10852445677817	6.65821148275179	6.52356195605701	6.59991284218713	6.39231742277876	6.4757334309664	6.32192809488736
ABCC6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	2.58496250072116	1.58496250072116	0	1	1	0	2	0	1	2	1	1	0	2	0	2	3
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	1.58496250072116	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCC9	4.08746284125034	4.32192809488736	3.70043971814109	3.8073549220576	3.8073549220576	4	3.16992500144231	2.32192809488736	3	5.20945336562895	4.24792751344359	4.70043971814109	3.32192809488736	4.75488750216347	4.24792751344359	4.24792751344359	4.4594316186373	4.58496250072116
ABCD1	4	3.8073549220576	4.24792751344359	4.32192809488736	3.8073549220576	4	3	3	2.8073549220576	3.8073549220576	3.58496250072116	4.08746284125034	3.58496250072116	3.32192809488736	3.32192809488736	4.08746284125034	3.70043971814109	3.58496250072116
ABCD2	5	4.64385618977472	5.20945336562895	4.95419631038687	4.64385618977472	4.8073549220576	3.58496250072116	4	3.90689059560852	5.39231742277876	5.08746284125034	4.85798099512757	5.20945336562895	5.20945336562895	5.04439411935845	4.70043971814109	5.08746284125034	5.08746284125034
ABCD3	6.74146698640115	6.94251450533924	6.79441586635011	6.52356195605701	6.71424551766612	6.75488750216347	7.52356195605701	7.19967234483636	7.4093909361377	6.55458885167764	6.4594316186373	6.35755200461808	7.21916852046216	7.19967234483636	6.93073733756289	6.85798099512757	6.71424551766612	6.83289001416474
ABCD4	5.4594316186373	5.8073549220576	5.6724253419715	5.8073549220576	5.55458885167764	5.90689059560852	4.52356195605701	5.20945336562895	5.39231742277876	5.93073733756289	5.8073549220576	5.55458885167764	6.02236781302845	5.95419631038687	5.35755200461808	6.04439411935845	5.83289001416474	5.58496250072116
ABCE1	8.16490692667569	8.03342300153745	8.01680828768655	7.56985560833095	7.60733031374961	7.53915881110803	8.96000193206808	9.13185696060879	9.19721669311005	7.82654848729092	8.2807707701306	8.17990909001493	8.31288295528435	8.25266543245025	8.20945336562895	8.11374216604919	8.11894107272351	8.10328780841202
ABCF1	8.95710204156229	8.93369065495223	9.25738784269265	8.82017896241519	9.04712391211403	8.82017896241519	9.83130724380205	9.82654848729091	9.68650052718322	8.87958324961278	9.03617361255349	9.04165915163721	9.61286849729104	9.34207466799914	9.26209484537018	9.211888294546	9.07146236255662	9.1548181090521
ABCF2	5.24792751344359	5.4594316186373	5.49185309632967	5.12928301694497	5.08746284125034	4.90689059560852	6.68650052718322	6.68650052718322	6.8703647195834	5.28540221886225	5.4594316186373	5.20945336562895	5.6724253419715	5.95419631038687	5.08746284125034	5.24792751344359	5.20945336562895	5.4594316186373
ABCF3	4.8073549220576	4.85798099512757	5	4.8073549220576	4.75488750216347	5.20945336562895	5.20945336562895	5.12928301694497	4.85798099512757	4.70043971814109	4.58496250072116	4.58496250072116	5.20945336562895	4.70043971814109	4.58496250072116	5	4.75488750216347	4.85798099512757
ABCG1	5.16992500144231	5	5.20945336562895	6.55458885167764	6.75488750216347	6.90689059560852	5.61470984411521	5.61470984411521	5.55458885167764	3.16992500144231	3.16992500144231	3.8073549220576	3	3.70043971814109	3.4594316186373	4.32192809488736	3.58496250072116	4.16992500144231
ABCG2	3.58496250072116	3.16992500144231	1.58496250072116	1.58496250072116	2.8073549220576	2.32192809488736	3.16992500144231	3.32192809488736	3	5.97727992349992	5.90689059560852	5.64385618977472	4	4.64385618977472	4.39231742277876	4.70043971814109	4.75488750216347	4.8073549220576
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	1	1.58496250072116	0	1	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	1.58496250072116	0	0	0	0	0	0	0
ABHD10	6.49185309632967	6.10852445677817	5.90689059560852	5.90689059560852	5.83289001416474	5.95419631038687	6.71424551766612	6.04439411935845	6.78135971352466	6.08746284125034	6.44294349584873	6.35755200461808	6.10852445677817	6.12928301694497	5.75488750216347	6.22881869049588	6.08746284125034	6.16992500144231
ABHD11	3	3	2.8073549220576	2.8073549220576	3	3	3.16992500144231	3.16992500144231	3.32192809488736	3.32192809488736	1	2.58496250072116	2.58496250072116	2.8073549220576	3.32192809488736	1.58496250072116	2.8073549220576	3.4594316186373
ABHD12	6.82017896241519	7.01122725542325	6.97727992349992	5.4594316186373	5.58496250072116	4.58496250072116	4.90689059560852	5.04439411935845	4.70043971814109	6.96578428466209	7.07681559705083	7.21916852046216	7.4093909361377	7.24792751344359	7.04439411935845	7.11894107272351	7.14974711950468	7.14974711950468
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	7.4262647547021	6.91886323727459	7.37503943134692	7.39231742277876	7.4093909361377	7.40087943628218	6.71424551766612	6.7279204545632	6.74146698640115	7.49185309632967	7.4594316186373	7.11894107272351	7.34872815423108	7.467605550083	7.13955135239879	7.03342300153745	7.08746284125034	7.4262647547021
ABHD14A	4.08746284125034	3.16992500144231	3.58496250072116	4.08746284125034	3.70043971814109	3.70043971814109	3.58496250072116	3.16992500144231	3.32192809488736	3	3	3.16992500144231	3.58496250072116	2.8073549220576	3.70043971814109	3.16992500144231	3	3.32192809488736
ABHD14A-ACY1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ABHD14B	6.12928301694497	6.28540221886225	6.4093909361377	6.52356195605701	6.52356195605701	5.8073549220576	5.4594316186373	5.58496250072116	5.16992500144231	6.02236781302845	6.10852445677817	6.49185309632967	6.70043971814109	6.24792751344359	6.5077946401987	6.35755200461808	6.18982455888002	5.85798099512757
ABHD15	6.4594316186373	6.22881869049588	6.58496250072116	6.88264304936184	7.19967234483636	7.10852445677817	6.32192809488736	5.97727992349992	5.85798099512757	6.06608919045777	6.44294349584873	6.56985560833095	6.74146698640115	6.24792751344359	6.4262647547021	6.39231742277876	6.39231742277876	6.2667865406949
ABHD16A	1.58496250072116	3	3.4594316186373	3.4594316186373	2.32192809488736	2.8073549220576	2	3	3.32192809488736	2	3.16992500144231	3.16992500144231	4	1.58496250072116	1	2.58496250072116	2.8073549220576	2.58496250072116
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	8.96000193206808	8.78135971352466	8.7279204545632	8.21916852046216	8.16490692667569	8.16490692667569	7.54689445988764	7.66533591718518	7.7279204545632	8.49185309632967	8.93957921431469	8.57364718749332	8.85174904141606	8.86108690599539	8.72451385311995	8.73470962022584	8.82972273508606	8.82336724004623
ABHD3	7.71424551766612	7.4178525148859	7.82654848729092	7.59991284218713	7.58496250072116	7.60733031374961	6.96578428466209	6.85798099512757	6.97727992349992	7.4757334309664	7.4093909361377	7.51569983828404	7.75488750216347	7.35755200461808	7.45121111183233	7.58496250072116	7.59245703726808	7.39231742277876
